# State of Prototyping Spring 2026
# fonte: https://survey.uxtools.co/spring-2026
# licenca: CC BY 4.0
# n=1478 coleta=2026-03-14 a 2026-04-06
# tratamento: Compound Design
bloco,chave,rotulo_pt,rotulo_en,n,pct
blockers,security,Segurança / compliance,Security / compliance,,28.9
blockers,engineering,Restrições de engenharia,Engineering constraints,,19.4
workflowChange,added-ai,Adicionei ferramentas de IA,Added AI tools,,36.5
workflowChange,ai-central,A IA agora é central,AI is now central,,34.6
workflowChange,in-flux,Ainda em transição,Still in flux,,15.2
workflowChange,same,Praticamente igual,Mostly the same,,9.9
workflowChange,consolidated,Consolidei ferramentas,Consolidated tools,,3.8
investing,ai-coding,Código gerado por IA,AI-generated coding,,64
investing,agents,Workflows com agentes,Agent workflows,,46.3
investing,design-systems,Design systems e tokens,Design systems & tokens,,40.2
investing,canvas,Ferramentas de canvas,Canvas design tools,,21.3
investing,video-motion-3d,"Vídeo, motion e 3D","Video, motion & 3D",,20.4
investing,simplify,Simplificar meu stack,Simplifying my stack,,17.5
investing,image-gen,Geração de imagem,Image generation,,14.7
investing,no-code,No-code (sem IA),No-code (not AI),,13.7
investing,manual-coding,Código manual,Manual coding,,9.5
investing,no-changes,Sem grandes mudanças,No major changes,,6.1
